City,Average Cost for Two,Has Table Booking,Has Online Delivery,Is Delivering Now,Price Range,Aggregate Rating,Votes,Aggregate Rating/Average Cost for Two,Longitude_Of_City,Latitude_Of_City
Amritsar,1200,No,No,No,3,3.4,98,0.00875,31.634,74.8723
Amritsar,400,No,No,No,2,3.5,111,0.004125,31.634,74.8723
Amritsar,700,No,No,No,2,3.6,51,0.004857142857142857,31.634,74.8723
Amritsar,200,No,No,No,1,3.9,206,0.013,31.634,74.8723
Amritsar,600,No,No,No,2,3.4,44,0.04,31.634,74.8723
Amritsar,500,No,No,No,2,3.7,94,0.00425,31.634,74.8723
Amritsar,500,No,No,No,2,3.5,461,0.024,31.634,74.8723
Amritsar,500,No,No,No,2,3.8,276,0.011666666666666667,31.634,74.8723
Amritsar,400,No,No,No,2,3.8,71,0.0068,31.634,74.8723
Amritsar,100,No,No,No,1,4.1,104,0.002833333333333333,31.634,74.8723
Amritsar,500,No,No,No,2,4.1,878,0.00875,31.634,74.8723
Amritsar,500,No,No,No,2,3.8,192,0.005142857142857143,31.634,74.8723
Amritsar,1000,No,No,No,3,3.5,96,0.0195,31.634,74.8723
Amritsar,150,No,No,No,1,4.1,140,0.005666666666666666,31.634,74.8723
Aurangabad,800,No,No,No,3,3.6,240,0.0074,19.8762,75.3433
Aurangabad,850,No,No,No,3,3.3,65,0.007,19.8762,75.3433
Aurangabad,600,No,No,No,2,3.3,63,0.0076,19.8762,75.3433
Aurangabad,700,No,No,No,2,3.1,19,0.0095,19.8762,75.3433
Aurangabad,350,No,No,No,2,3.4,46,0.040999999999999995,19.8762,75.3433
Aurangabad,450,No,No,No,2,3.4,75,0.008199999999999999,19.8762,75.3433
Aurangabad,1800,No,No,No,4,3.4,94,0.0076,19.8762,75.3433
Aurangabad,500,No,No,No,2,3.3,47,0.0035,19.8762,75.3433
Aurangabad,500,No,No,No,2,3.4,71,0.02733333333333333,19.8762,75.3433
Aurangabad,1000,No,No,No,3,3.6,73,0.0045000000000000005,19.8762,75.3433
Aurangabad,300,No,No,No,1,3.5,21,0.0038823529411764705,19.8762,75.3433
Aurangabad,400,No,No,No,2,3.3,46,0.0055,19.8762,75.3433
Aurangabad,700,No,No,No,2,3.3,45,0.004428571428571428,19.8762,75.3433
Aurangabad,450,No,No,No,2,3.4,34,0.009714285714285713,19.8762,75.3433
Aurangabad,450,No,No,No,2,3.7,89,0.007555555555555555,19.8762,75.3433
Aurangabad,400,No,No,No,2,3.2,8,0.0018888888888888887,19.8762,75.3433
Aurangabad,650,No,No,No,2,3.4,39,0.0066,19.8762,75.3433
Aurangabad,600,No,No,No,2,3.3,74,0.0068,19.8762,75.3433
Aurangabad,450,No,No,No,2,3.3,76,0.0036,19.8762,75.3433
Aurangabad,500,No,No,No,2,3.3,71,0.011666666666666667,19.8762,75.3433
Bangalore,1300,Yes,Yes,No,3,4.1,2416,0.00825,12.9716,77.5946
Bangalore,2400,Yes,Yes,No,4,4.7,2369,0.004714285714285714,12.9716,77.5946
Bangalore,2000,No,No,No,4,4.8,10934,0.007555555555555555,12.9716,77.5946
Bangalore,1300,Yes,No,No,3,3.9,1354,0.008222222222222223,12.9716,77.5946
Bangalore,1500,No,Yes,No,3,4.2,231,0.008,12.9716,77.5946
Bangalore,800,No,No,No,2,4.0,3533,0.005230769230769231,12.9716,77.5946
Bangalore,600,No,Yes,No,2,4.3,1413,0.0055,12.9716,77.5946
Bangalore,600,No,No,No,2,4.6,781,0.007333333333333333,12.9716,77.5946
